KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.hoehen.124.0.hoehenkurven_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.329.0.hydrogeologische_berichte_lage_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.verkehr.1515.0.ivs_gelaendekarte_ch: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.verkehr.1516.0.ivs_historische_verkehrswege_ch: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.wald_flora_fauna.1375.0.jagdbanngebiete_kt_ai: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.wald_flora_fauna.658.0.jagdreviere_kt_ai: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.politische_und_administrative_grenzen.315.0.kantonsgrenzsteinkataster_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.umwelt_naturschutz.252.0.kataster_der_belasteten_standorte_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.977.0.kein_hintergrund: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.atmosphaere_luft_klima.1000.0.klimaeignung_landwirtschaft_ch: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.925.0.lagefixpunkte_gde: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.266.0.landeskarte: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.107.0.landeskarte_grau: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1422.0.landeskarte_grau_vor_2019: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.267.0.landeskarte_kombi_mit_relief: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1878.0.landeskarte_lk100_ch: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1872.0.landeskarte_lk10_ch: sequence item 0: expected str instance, NoneType found
